file	assestment	status	dneresult	dneurl	efqresult	efqurl	language	context	target	note	
DTS/Alligator/Test/dne.test		Theorem	YES	DTS/Alligator/AlexHappy/output/dne_dts.html	UNKNOWN	DTS/Alligator/AlexHappy/output/dne_efq.html	fof	(q=>((p=>($false))=>($false))),(p=>r),(q)	(r)			
DTS/Alligator/Test/dni.test			YES	DTS/Alligator/AlexHappy/output/dni_dts.html	YES	DTS/Alligator/AlexHappy/output/dni_efq.html	fof		(p=>~(~(p)))			
DTS/Alligator/Test/dni3.test			YES	DTS/Alligator/AlexHappy/output/dni3_dts.html	YES	DTS/Alligator/AlexHappy/output/dni3_efq.html	fof	(p)	((p=>($false))=>($false))			
DTS/Alligator/Test/loadtest.test			UNKNOWN		UNKNOWN					timeout		
DTS/Alligator/Test/dni2.test			YES	DTS/Alligator/AlexHappy/output/dni2_dts.html	YES	DTS/Alligator/AlexHappy/output/dni2_efq.html	fof		(p=>((p=>($false))=>($false)))			
DTS/Alligator/Test/transitive.test			YES	DTS/Alligator/AlexHappy/output/transitive_dts.html	YES	DTS/Alligator/AlexHappy/output/transitive_efq.html	fof	(p=>q),(q=>r),(p)	(r)			
DTS/Alligator/Test/exist1.test			UNKNOWN		UNKNOWN					timeout		
DTS/Alligator/Test/all.test			YES	DTS/Alligator/AlexHappy/output/all_dts.html	YES	DTS/Alligator/AlexHappy/output/all_efq.html	fof		(![p]:(p=>p))			
DTS/Alligator/Test/efq.test			YES	DTS/Alligator/AlexHappy/output/efq_dts.html	YES	DTS/Alligator/AlexHappy/output/efq_efq.html	fof	(($false))	(p)			
DTS/Alligator/Test/lem.test			YES	DTS/Alligator/AlexHappy/output/lem_dts.html	YES	DTS/Alligator/AlexHappy/output/lem_efq.html	fof		(p|~(p))			
DTS/Alligator/Test/dni4.test			YES	DTS/Alligator/AlexHappy/output/dni4_dts.html	YES	DTS/Alligator/AlexHappy/output/dni4_efq.html	fof		(p=>((~(~(p)))=>p))			
DTS/Alligator/Test/exist.test			UNKNOWN		UNKNOWN					timeout		
