file	assestment	status	dneresult	dneurl	efqresult	efqurl	language	context	target	note	
DTS/Alligator/Test/all2.test			UNKNOWN		UNKNOWN	DTS/Alligator/AlexHappy/output/all2_efq.html	fof	(![p]:(f(p)))	f(a)			
DTS/Alligator/Test/app.test			UNKNOWN		UNKNOWN					timeout		
DTS/Alligator/Test/app2.test			UNKNOWN		UNKNOWN					timeout		
DTS/Alligator/Test/transitive2.test			YES	DTS/Alligator/AlexHappy/output/transitive2_dts.html	YES	DTS/Alligator/AlexHappy/output/transitive2_efq.html	fof	(p=>q),(q=>r)	(p=>r)			
DTS/Alligator/Test/or3.test			UNKNOWN		UNKNOWN					timeout		
DTS/Alligator/Test/or2.test			UNKNOWN		UNKNOWN					timeout		
DTS/Alligator/Test/or.test			UNKNOWN		UNKNOWN					timeout		
DTS/Alligator/Test/transitive_7_18.test			YES	DTS/Alligator/AlexHappy/output/transitive_7_18_dts.html	YES	DTS/Alligator/AlexHappy/output/transitive_7_18_efq.html	fof		((p=>q)=>((q=>r)=>(p=>r)))			
DTS/Alligator/Test/app3.test		Theorem	YES	DTS/Alligator/AlexHappy/output/app3_dts.html	YES	DTS/Alligator/AlexHappy/output/app3_efq.html	fof	(r(a))	(r(a))			
DTS/Alligator/Test/or20.test			UNKNOWN		UNKNOWN					timeout		
DTS/Alligator/Test/lem_all.test			YES	DTS/Alligator/AlexHappy/output/lem_all_dts.html	YES	DTS/Alligator/AlexHappy/output/lem_all_efq.html	fof		(![p]:(p|~(p)))			
DTS/Alligator/Test/or4.test			UNKNOWN		UNKNOWN					timeout		
DTS/Alligator/Test/lem_exist.test			YES	DTS/Alligator/AlexHappy/output/lem_exist_dts.html	YES	DTS/Alligator/AlexHappy/output/lem_exist_efq.html	fof		(?[p]:(p|~(p)))			
../../TPTP-v7.3.0/Problems/SYN/SYN500+1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN514+1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN904-1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN910-1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN528+1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN045-1.p		Unsatisfiable	UNKNOWN		UNKNOWN	DTS/Alligator/AlexHappy/output/SYN045-1_efq.html	cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN737-1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN051-1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN079-1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN064+1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN284-1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN290-1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN070+1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN058+1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN521-1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN919+1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN247-1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN253-1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN535-1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN925+1.p			UNKNOWN		UNKNOWN					timeout		
../../TPTP-v7.3.0/Problems/SYN/SYN931+1.p			UNKNOWN		UNKNOWN					timeout		
